DOI;Country;Robot/s used (?);Adult vs Children;wtype;Role (Pr = presenter, TA = teaching assistant, Te = teacher, Pe = peer, Tu = tutor);Curriculum;nb students per robot;Communicative gestures vs functional actions;Autonomy;Contain Retention component?;Material;Included
10.21125/inted.2020.1926;Greece;Nao;Ch;2020;Pe;handwriting;1;CO+FU;Scripted;No;Tablet;Yes
10.3389/frobt.2020.00015;Spain;Haru;Ch;2020;Tu;"proble; solving";1;CO;WOZ;No;tangibles;Yes
10.3389/frobt.2019.00148;Israel;Nao;Ad;2020;Te;HCI;3;CO;Scripted;No;tablet;Yes
10.1145/3319502.3374822;USA;Tega;Ch;2020;Tu;Vocabulary;1;CO;Scripted;No;Tablet;Yes
10.1145/3319502.3374803;Netherlands;Zeno;Ch;2020;Tu;Problem Solving;1;CO;Scripted;No;Tablet+tangibles;Yes
10.1145/3319502.3374828;Netherlands;Nao;Ch;2020;Tu;L2;1;CO;Scripted;No;Tablet;Yes
10.20965/jaciii.2020.p0101;Japan;Sota;Ad;2020;Tu;Math;1;CO;scripted;No;PC+tangible;Yes
10.1080/10494820.2019.1710542;;;;2020;;;;;;;;No
10.1007/s12369-020-00635-y;Sweden;Furhat;Ad;2020;Pe/Tu;L2;2;CO;semi-autonomous WOZ;;;Yes
10.1145/3377290.3377304;;;;2020;;;;;;;;No
10.1111/bjet.12848;Italia;MecWilly and Bluebot;Ch;2020;Tu;Way-finding;1 or 2;CO;scripted;No;;Yes
10.1145/3319502.3374787;Netherlands;SocibotMini;Ch;2020;Tu;Music;1;CO;WoZ;No;;Yes
10.1145/3319502.3374813;Kazakhstan;Nao;Ch;2020;Pe;handwriting;1;CO+FU;semi-autonomous;No;Tablet;Yes
10.1145/3319502.3374826;Netherlands;Nao;Ch;2020;Pe/Tu;storytelling;1;CO;scripted;No;;Yes
10.1145/3319502.3374815;Netherlands;Nao;Ch;2020;Tu;L2;1;CO;scripted;Yes;Tablet;Yes
10.1007/s10643-019-00997-7;;;;2020;;;;;;;;No
