Robots;Human-likeliness;Facial Features;Body Manipulators;Surface Look
Nao;45.92;0.876;0.973;0.039
Haru;11.63;0.39;0.01;0.04
Tega;0;0;0;0
Zeno;61.84;0.982;0.987;0.651
Sota;25.76;0.947;0.453;0.031
Furhat;63.63;1;0.025;0.727
MecWilly/Bluebot;0;0;0;0
SocibotMini;51.09;1;0.086;0.545
DragonBot;0;0;0;0
Repiro;0;0;0;0
Wakamaru;35.96;0.746;0.734;0.11
Keepon;0;0;0;0
Robotive;0;0;0;0
Nao/Robovie;0;0;0;0
Robovie;0;0;0;0
Nao torso;0;0;0;0
Bandit;38.26;0.982;0.765;0.32
Darwin;40.04;0.736;0.76;0.071
Robovie/Lego;0;0;0;0
Geminoid;0;0;0;0
Pepper;42.17;0.962;0.858;0.227
IRI;0;0;0;0
SPRITE;0;0;0;0
WittyWorxk;0;0;0;0
Jibo;1.44;0.106;0.013;0.021
InMoov;59;0.962;0.786;0.263
instruMentor;0;0;0;0
CommU;57.73;0.97;0.65;0.28
stuffed toy robot;0;0;0;0
;0;0;0;0
Einstein Hanson;0;0;0;0
Minnie;0;0;0;0
Maki;26.56;0.876;0.101;0.169
Bioloid;0;0;0;0
EMYS;40.52;0.967;0.038;0.197
ifbot;0;0;0;0
MantaroBot Classic;0;0;0;0
Lego;0;0;0;0
Robothespian;57.91;0.967;0.971;0.137
Meka;0;0;0;0
R3;0;0;0;0
LEGO;0;0;0;0
KTX-PC ;0;0;0;0
ROBOSEM;0;0;0;0
SAYA;0;0;0;0
Mero/Engkey;0;0;0;0
iCat;21.13;1;0.128;0.294
HOAP-3;0;0;0;0
Robosapien;0;0;0;0
iRobiQ;18;0.899;0.292;0.091
SAYA/MOBiMacs;0;0;0;0
IROBI;0;0;0;0
